constructorId,year,constructorRef,constructor_name,constructor_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top10_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
51,2019,alfa,Alfa Romeo,Swiss,258.0,211.0,0.8178294573643411,47.0,0.1821705426356589,18.0,0.06976744186046512,23.0,0.08914728682170543,5.0,0.01937984496124031,0.9302325581395349,0,1,45,165.0,0.6395348837209303,11.515503875968992,5.846365724787449,0.14606289529340705,0.5230304669190554
51,2020,alfa,Alfa Romeo,Swiss,42.0,39.0,0.9285714285714286,3.0,0.07142857142857142,1.0,0.023809523809523808,2.0,0.047619047619047616,0.0,0.0,0.9761904761904762,0,0,13,57.0,1.3571428571428572,11.428571428571429,4.766664288092267,0.17341047615081837,1.2602040816326532
51,2021,alfa,Alfa Romeo,Swiss,76.0,69.0,0.9078947368421053,7.0,0.09210526315789473,3.0,0.039473684210526314,4.0,0.05263157894736842,0.0,0.0,0.9605263157894737,0,0,18,65.0,0.8552631578947368,11.605263157894736,4.834304356880983,0.17140003997573408,0.77648891966759
51,2022,alfa,Alfa Romeo,Swiss,120.0,110.0,0.9166666666666666,10.0,0.08333333333333333,5.0,0.041666666666666664,5.0,0.041666666666666664,0.0,0.0,0.9583333333333334,0,0,24,78.0,0.65,11.725,4.51841140962913,0.18121157082545353,0.5958333333333333
51,2023,alfa,Alfa Romeo,Swiss,164.0,143.0,0.8719512195121951,21.0,0.12804878048780488,11.0,0.06707317073170732,9.0,0.054878048780487805,0.0,0.0,0.9329268292682926,0,0,36,131.0,0.7987804878048781,10.99390243902439,5.024934110985949,0.1659769188473922,0.6964976204640095
117,2021,aston_martin,Aston Martin,British,208.0,181.0,0.8701923076923077,27.0,0.12980769230769232,15.0,0.07211538461538461,11.0,0.052884615384615384,0.0,0.0,0.9278846153846154,0,0,43,147.0,0.7067307692307693,11.115384615384615,5.102427198266476,0.1638692224438288,0.6149916789940829
117,2022,aston_martin,Aston Martin,British,44.0,39.0,0.8863636363636364,5.0,0.11363636363636363,0.0,0.0,4.0,0.09090909090909091,1.0,0.022727272727272728,1.0,0,1,16,77.0,1.75,9.431818181818182,5.038026883218574,0.16561701684026775,1.5511363636363635
117,2023,aston_martin,Aston Martin,British,88.0,79.0,0.8977272727272727,9.0,0.10227272727272728,2.0,0.022727272727272728,6.0,0.06818181818181818,1.0,0.011363636363636364,0.9772727272727273,0,1,34,132.0,1.5,9.806818181818182,4.67308043854629,0.17627107720972965,1.3465909090909092
117,2024,aston_martin,Aston Martin,British,132.0,117.0,0.8863636363636364,15.0,0.11363636363636363,5.0,0.03787878787878788,7.0,0.05303030303030303,3.0,0.022727272727272728,0.9621212121212122,0,9,65,398.0,3.015151515151515,8.659090909090908,4.870799737480965,0.17033454464741776,2.6725206611570247
117,2025,aston_martin,Aston Martin,British,180.0,160.0,0.8888888888888888,20.0,0.1111111111111111,6.0,0.03333333333333333,9.0,0.05,5.0,0.027777777777777776,0.9666666666666667,0,9,85,492.0,2.7333333333333334,9.077777777777778,4.894958353648232,0.16963648256838434,2.4296296296296296
131,2015,mercedes,Mercedes,German,227.0,201.0,0.8854625550660793,26.0,0.1145374449339207,10.0,0.04405286343612335,11.0,0.048458149779735685,5.0,0.022026431718061675,0.9559471365638766,0,9,101,572.0,2.5198237885462555,9.841409691629956,5.010249736096582,0.16638243732105884,2.2312096101224554
131,2016,mercedes,Mercedes,German,38.0,36.0,0.9473684210526315,2.0,0.05263157894736842,2.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.9473684210526316,16,32,35,703.0,18.5,2.263157894736842,2.834785896735838,0.2607707514652116,17.526315789473685
131,2017,mercedes,Mercedes,German,80.0,75.0,0.9375,5.0,0.0625,3.0,0.0375,2.0,0.025,0.0,0.0,0.9625,35,65,74,1468.0,18.35,2.1375,2.289889462397694,0.3039615802991731,17.203125
131,2018,mercedes,Mercedes,German,120.0,114.0,0.95,6.0,0.05,4.0,0.03333333333333333,2.0,0.016666666666666666,0.0,0.0,0.9666666666666667,47,91,113,2136.0,17.8,2.341666666666667,2.19277538496055,0.3132071252836836,16.91
131,2019,mercedes,Mercedes,German,162.0,154.0,0.9506172839506173,8.0,0.04938271604938271,6.0,0.037037037037037035,2.0,0.012345679012345678,0.0,0.0,0.962962962962963,58,116,152,2791.0,17.228395061728396,2.432098765432099,2.125322178074599,0.3199670123660866,16.377610120408473
131,2020,mercedes,Mercedes,German,204.0,194.0,0.9509803921568627,10.0,0.049019607843137254,7.0,0.03431372549019608,3.0,0.014705882352941176,0.0,0.0,0.9656862745098039,73,148,192,3530.0,17.30392156862745,2.426470588235294,2.0932864896058354,0.3232807576537878,16.45569011918493
131,2021,mercedes,Mercedes,German,238.0,227.0,0.9537815126050421,11.0,0.046218487394957986,8.0,0.03361344537815126,3.0,0.012605042016806723,0.0,0.0,0.9663865546218487,86,173,223,4103.0,17.23949579831933,2.533613445378151,2.3093080673082986,0.3021779718481673,16.442712379069278
131,2022,mercedes,Mercedes,German,282.0,266.0,0.9432624113475178,16.0,0.05673758865248227,9.0,0.031914893617021274,7.0,0.024822695035460994,0.0,0.0,0.9680851063829787,95,201,258,4707.5,16.69326241134752,2.6631205673758864,2.5771750807446177,0.2795501974121552,15.74612695538454
131,2023,mercedes,Mercedes,German,326.0,308.0,0.9447852760736196,18.0,0.05521472392638037,9.0,0.027607361963190184,9.0,0.027607361963190184,0.0,0.0,0.9723926380368099,96,218,297,5202.5,15.958588957055214,2.932515337423313,2.8036541325854616,0.2629050815722483,15.077439873536829
